year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2026,6,MQ,Envoy Air,MLI,"Moline, IL: Quad Cities International",173,29,6.17,3.6,6.33,0,12.9,9,1,1818,236,256,269,0,1057
2026,6,MQ,Envoy Air,MLU,"Monroe, LA: Monroe Regional",89,16,5.12,1.01,5.39,0,4.48,3,0,1267,208,52,337,0,670
2026,6,MQ,Envoy Air,MOB,"Mobile, AL: Mobile Regional",25,7,0.1,0.34,1.8,0,4.77,3,0,415,8,26,217,0,164
2026,6,MQ,Envoy Air,MQT,"Marquette, MI: Marquette Sawyer Regional",60,14,2.39,0,1.41,0,10.21,2,2,665,105,0,43,0,517
2026,6,MQ,Envoy Air,MRY,"Monterey, CA: Monterey Regional",30,4,0.2,0,2.36,0,1.44,0,0,102,5,0,66,0,31
2026,6,MQ,Envoy Air,MSN,"Madison, WI: Dane County Regional-Truax Field",143,27,5.52,0.48,3.14,0,17.86,7,1,1569,283,23,216,0,1047
2026,6,MQ,Envoy Air,MSO,"Missoula, MT: Missoula Montana",56,12,3.19,1,3.69,0,4.13,0,1,425,109,24,96,0,196
2026,6,MQ,Envoy Air,MSP,"Minneapolis, MN: Minneapolis-St Paul International",85,11,1.63,0.7,3.99,0,4.68,1,0,614,100,44,146,0,324
2026,6,MQ,Envoy Air,MSY,"New Orleans, LA: Louis Armstrong New Orleans International",53,12,3.65,0.58,2.52,0,5.26,1,1,476,95,36,82,0,263
2026,6,MQ,Envoy Air,MTJ,"Montrose/Delta, CO: Montrose Regional",13,1,0,0.46,0.54,0,0,0,0,50,0,23,27,0,0
2026,6,MQ,Envoy Air,MVY,"Martha's Vineyard, MA: Martha's Vineyard Airport",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,6,MQ,Envoy Air,MYR,"Myrtle Beach, SC: Myrtle Beach International",67,13,1.14,1.44,2.22,0,8.2,0,1,931,57,95,84,0,695
2026,6,MQ,Envoy Air,OKC,"Oklahoma City, OK: Okc Will Rogers International",156,38,7.06,3.16,6.09,0,21.69,7,0,2435,349,347,407,0,1332
2026,6,MQ,Envoy Air,OMA,"Omaha, NE: Eppley Airfield",72,17,5.76,0.33,2.62,0,8.29,5,0,1028,385,12,185,0,446
2026,6,MQ,Envoy Air,ORD,"Chicago, IL: Chicago O'Hare International",4737,926,188.11,101.88,285.36,2.52,348.13,202,17,85117,22441,14747,19618,83,28228
2026,6,MQ,Envoy Air,ORF,"Norfolk, VA: Norfolk International",37,9,1.96,0.29,3.26,0,3.49,1,0,483,104,36,157,0,186
2026,6,MQ,Envoy Air,PDX,"Portland, OR: Portland International",4,1,0,0,0.08,0,0.92,0,0,78,0,0,6,0,72
2026,6,MQ,Envoy Air,PHX,"Phoenix, AZ: Phoenix Sky Harbor International",1035,168,58.15,3.87,21.98,1.63,82.36,1,1,9716,3320,288,895,107,5106
2026,6,MQ,Envoy Air,PIA,"Peoria, IL: General Downing - Peoria International",90,18,5.07,1.19,3.52,0,8.23,6,1,675,191,47,145,0,292
2026,6,MQ,Envoy Air,PNS,"Pensacola, FL: Pensacola International",156,34,6.14,1.49,18.7,0,7.67,1,0,1365,251,138,581,0,395
2026,6,MQ,Envoy Air,PVD,"Providence, RI: Rhode Island Tf Green International",82,13,1.17,0,1.6,0,10.22,3,0,805,42,0,50,0,713
2026,6,MQ,Envoy Air,PWM,"Portland, ME: Portland International Jetport",23,3,1.86,0,0,0,1.14,0,0,241,65,0,0,0,176
2026,6,MQ,Envoy Air,RAP,"Rapid City, SD: Rapid City Regional",203,35,9.67,1.49,10,0,13.85,4,1,2010,550,92,406,0,962
2026,6,MQ,Envoy Air,RDM,"Bend/Redmond, OR: Roberts Field",60,19,5.88,0,3.31,0,9.81,0,0,832,307,0,74,0,451
2026,6,MQ,Envoy Air,RDU,"Raleigh/Durham, NC: Raleigh-Durham International",32,13,3.03,0.11,2.4,0,7.45,2,0,1140,182,3,259,0,696
2026,6,MQ,Envoy Air,RIC,"Richmond, VA: Richmond International",4,1,0.86,0,0.14,0,0,0,0,74,64,0,10,0,0
2026,6,MQ,Envoy Air,RNO,"Reno, NV: Reno/Tahoe International",57,9,2,0,1.23,0,5.76,0,0,470,75,0,34,0,361
2026,6,MQ,Envoy Air,ROC,"Rochester, NY: Frederick Douglass Grtr Rochester International",90,10,3.76,0.41,2.18,0,3.66,1,0,542,122,37,131,0,252
2026,6,MQ,Envoy Air,ROW,"Roswell, NM: Roswell Air Center",1,1,0,0,0.51,0,0.49,0,0,189,0,0,96,0,93
2026,6,MQ,Envoy Air,RST,"Rochester, MN: Rochester International",30,12,1.26,0,2.54,0,8.2,0,0,422,79,0,63,0,280
2026,6,MQ,Envoy Air,SAT,"San Antonio, TX: San Antonio International",185,39,8.5,1.32,10.76,0,18.42,7,1,2117,402,97,465,0,1153
2026,6,MQ,Envoy Air,SAV,"Savannah, GA: Savannah/Hilton Head International",69,14,1.03,0,6.85,0.81,5.32,0,0,772,68,0,310,46,348
2026,6,MQ,Envoy Air,SBA,"Santa Barbara, CA: Santa Barbara Municipal",44,6,0.48,0,0.01,0,5.51,0,0,391,86,0,2,0,303
2026,6,MQ,Envoy Air,SDF,"Louisville, KY: Louisville Muhammad Ali International",111,19,4.6,1.75,4.82,0,7.83,4,0,996,116,148,261,0,471
2026,6,MQ,Envoy Air,SEA,"Seattle, WA: Seattle/Tacoma International",93,15,4.63,0,3.36,0,7.01,0,0,612,170,0,110,0,332
2026,6,MQ,Envoy Air,SGF,"Springfield, MO: Springfield-Branson National",409,95,14.32,9.56,25.65,0,45.47,15,0,6951,827,1044,1823,0,3257
2026,6,MQ,Envoy Air,SHV,"Shreveport, LA: Shreveport Regional",62,13,2.43,1.55,2.61,0,6.41,8,0,751,90,165,98,0,398
2026,6,MQ,Envoy Air,SJC,"San Jose, CA: Norman Y. Mineta San Jose International",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026,6,MQ,Envoy Air,SLC,"Salt Lake City, UT: Salt Lake City International",9,1,1,0,0,0,0,0,0,34,34,0,0,0,0
2026,6,MQ,Envoy Air,SMF,"Sacramento, CA: Sacramento International",30,5,1.06,0,0.59,0,3.35,0,0,338,32,0,15,0,291
2026,6,MQ,Envoy Air,SPI,"Springfield, IL: Abraham Lincoln Capital",60,12,0.84,1.45,4.32,0,5.39,1,0,1267,67,190,442,0,568
2026,6,MQ,Envoy Air,SPS,"Wichita Falls, TX: Sheppard AFB/Wichita Falls Municipal",60,15,5.35,0.81,4.13,0,4.71,1,0,1155,217,106,349,0,483
2026,6,MQ,Envoy Air,SRQ,"Sarasota/Bradenton, FL: Sarasota/Bradenton International",38,6,2.15,0.95,0,0,2.9,0,0,302,118,21,0,0,163
2026,6,MQ,Envoy Air,STL,"St. Louis, MO: St Louis Lambert International",120,18,1.8,1.48,7,0,7.71,2,0,771,62,72,335,0,302
2026,6,MQ,Envoy Air,SYR,"Syracuse, NY: Syracuse Hancock International",116,21,3.19,1.51,4.45,0,11.85,5,1,1922,117,316,172,0,1317
2026,6,MQ,Envoy Air,TLH,"Tallahassee, FL: Tallahassee International",94,17,3.45,1.34,7.28,0,4.93,0,1,604,96,99,237,0,172
2026,6,MQ,Envoy Air,TPA,"Tampa, FL: Tampa International",91,21,6.07,0.41,7.21,0,7.31,1,0,874,284,10,280,0,300
2026,6,MQ,Envoy Air,TRI,"Bristol/Johnson City/Kingsport, TN: Tri Cities",60,15,2.62,2.11,5.5,0,4.77,4,2,1107,100,203,324,0,480
2026,6,MQ,Envoy Air,TUL,"Tulsa, OK: Tulsa International",265,50,12.73,1.21,12.62,0,23.44,9,1,2167,424,71,432,0,1240
2026,6,MQ,Envoy Air,TUS,"Tucson, AZ: Tucson International",57,4,0.22,0,0,0,3.78,0,0,175,4,0,0,0,171
2026,6,MQ,Envoy Air,TVC,"Traverse City, MI: Cherry Capital",94,22,7.39,0.83,6.36,0,7.42,2,1,1284,292,56,282,0,654
2026,6,MQ,Envoy Air,TXK,"Texarkana, AR: Texarkana Regional-Webb Field",60,13,4.65,0.18,0.82,0,7.35,4,0,1388,231,5,57,0,1095
2026,6,MQ,Envoy Air,TYR,"Tyler, TX: Tyler Pounds Regional",90,20,5.92,1.98,2.21,0,9.89,5,0,1577,233,128,198,0,1018
2026,6,MQ,Envoy Air,TYS,"Knoxville, TN: McGhee Tyson",62,17,2.17,0.56,10.64,0,3.63,4,0,908,90,48,555,0,215
2026,6,MQ,Envoy Air,VPS,"Valparaiso, FL: Eglin AFB Destin Fort Walton Beach",60,7,3.81,1,0.66,0,1.53,0,0,310,170,44,25,0,71
2026,6,MQ,Envoy Air,XNA,"Fayetteville, AR: Northwest Arkansas National",433,118,20.87,13.11,43.66,0,40.36,12,1,7783,1274,1186,1802,0,3521
2026,6,MQ,Envoy Air,YUM,"Yuma, AZ: Yuma MCAS/Yuma International",48,16,4.1,0.3,0.32,0,11.27,0,0,1067,201,31,69,0,766
2026,6,OH,PSA Airlines Inc.,ABE,"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",60,20,5.91,2.32,4.51,0,7.27,2,0,1277,385,242,141,0,509
2026,6,OH,PSA Airlines Inc.,AGS,"Augusta, GA: Augusta Regional at Bush Field",90,32,3.98,3.01,4.57,0.33,20.1,5,0,3421,257,382,787,38,1957
2026,6,OH,PSA Airlines Inc.,ALB,"Albany, NY: Albany International",84,28,5.4,0.45,7.9,0.81,13.43,10,0,3705,485,121,478,26,2595
2026,6,OH,PSA Airlines Inc.,ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",282,68,23.05,5.59,14.38,0,24.98,20,0,5367,1985,607,639,0,2136
2026,6,OH,PSA Airlines Inc.,ATW,"Appleton, WI: Appleton International",30,6,3.05,0,0,0,2.95,1,0,263,154,0,0,0,109
2026,6,OH,PSA Airlines Inc.,AUS,"Austin, TX: Austin - Bergstrom International",11,2,0,0,0,0,2,1,0,207,0,0,0,0,207
2026,6,OH,PSA Airlines Inc.,AVL,"Asheville, NC: Asheville Regional",103,33,11.23,1.29,8.38,0,12.1,9,0,2441,1035,179,296,0,931
2026,6,OH,PSA Airlines Inc.,AVP,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",60,15,3.48,2.1,4.13,0,5.29,2,0,947,160,314,96,0,377
2026,6,OH,PSA Airlines Inc.,BDL,"Hartford, CT: Bradley International",114,26,7.38,0.01,3.07,0,15.54,14,0,2136,564,3,195,0,1374
2026,6,OH,PSA Airlines Inc.,BGR,"Bangor, ME: Bangor International",100,26,6.62,0.77,5.22,0,13.39,11,1,2978,1580,54,258,0,1086
2026,6,OH,PSA Airlines Inc.,BHM,"Birmingham, AL: Birmingham-Shuttlesworth International",289,97,33.05,6.17,11.76,0.28,45.74,20,2,7730,2572,1340,708,38,3072
2026,6,OH,PSA Airlines Inc.,BNA,"Nashville, TN: Nashville International",171,41,12.77,2.14,11.12,0,14.97,14,0,2002,554,109,352,0,987
2026,6,OH,PSA Airlines Inc.,BTR,"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",98,34,8.86,5.68,5.61,0,13.85,7,0,2787,734,771,320,0,962
2026,6,OH,PSA Airlines Inc.,BTV,"Burlington, VT: Patrick Leahy Burlington International",273,61,21.58,2.58,12.16,0,24.68,25,0,4515,1771,215,570,0,1959
2026,6,OH,PSA Airlines Inc.,BUF,"Buffalo, NY: Buffalo Niagara International",86,31,9.61,2.45,5.5,0,13.44,11,0,2441,889,152,273,0,1127
2026,6,OH,PSA Airlines Inc.,BWI,"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",8,2,1.35,0,0,0,0.65,0,0,112,61,0,0,0,51
2026,6,OH,PSA Airlines Inc.,CAE,"Columbia, SC: Columbia Metropolitan",111,24,7.18,1.26,3.23,0,12.34,6,0,2546,869,154,313,0,1210
2026,6,OH,PSA Airlines Inc.,CAK,"Akron, OH: Akron-Canton Regional",162,63,14.6,5.67,21.48,0.06,21.18,6,0,5034,872,950,1153,10,2049
2026,6,OH,PSA Airlines Inc.,CHA,"Chattanooga, TN: Lovell Field",52,15,3.58,0.22,1.56,0,9.64,7,0,964,165,50,63,0,686
2026,6,OH,PSA Airlines Inc.,CHS,"Charleston, SC: Charleston AFB/International",267,68,21.85,5.98,12.43,0,27.74,16,0,5684,1557,701,385,0,3041
2026,6,OH,PSA Airlines Inc.,CLE,"Cleveland, OH: Cleveland-Hopkins International",163,46,15.99,1.51,12.88,0,15.62,22,0,4369,1491,89,622,0,2167
2026,6,OH,PSA Airlines Inc.,CLT,"Charlotte, NC: Charlotte Douglas International",3423,730,168.07,33.15,108.17,1.1,419.51,103,10,80230,24250,9554,6439,42,39945
2026,6,OH,PSA Airlines Inc.,CMH,"Columbus, OH: John Glenn Columbus International",165,33,7.67,1.6,8.94,0,14.79,4,1,2123,434,200,435,0,1054
2026,6,OH,PSA Airlines Inc.,CRW,"Charleston/Dunbar, WV: West Virginia International Yeager",111,29,7.34,2.97,2.23,0,16.46,12,0,2240,721,146,73,0,1300
2026,6,OH,PSA Airlines Inc.,CVG,"Cincinnati, OH: Cincinnati/Northern Kentucky International",236,58,15,3.31,12.13,0,27.56,10,2,6923,2061,766,1201,0,2895
2026,6,OH,PSA Airlines Inc.,DAB,"Daytona Beach, FL: Daytona Beach International",120,22,10.11,0.8,2.53,1,7.57,5,0,2385,1406,110,159,16,694
2026,6,OH,PSA Airlines Inc.,DAY,"Dayton, OH: James M Cox/Dayton International",328,103,30.82,12.28,16.93,0.33,42.65,14,0,10407,2700,1682,1298,22,4705
2026,6,OH,PSA Airlines Inc.,DCA,"Washington, DC: Ronald Reagan Washington National",3659,954,172.27,46.65,310.33,1.03,423.73,376,17,143673,41058,19025,31496,64,52030
2026,6,OH,PSA Airlines Inc.,DFW,"Dallas/Fort Worth, TX: Dallas/Fort Worth International",1548,418,87.51,46.75,74.99,0.15,208.6,134,15,45731,10627,7781,5366,18,21939
2026,6,OH,PSA Airlines Inc.,DSM,"Des Moines, IA: Des Moines International",88,24,10.56,0,2.65,0,10.79,8,0,2534,1667,0,138,0,729
2026,6,OH,PSA Airlines Inc.,DTW,"Detroit, MI: Detroit Metro Wayne County",189,52,14.49,1.01,11.05,1,24.45,18,0,3613,856,137,750,25,1845
2026,6,OH,PSA Airlines Inc.,ECP,"Panama City, FL: Northwest Florida Beaches International",195,59,11.15,3.01,22.71,0,22.13,11,1,4132,670,376,1093,0,1993
2026,6,OH,PSA Airlines Inc.,GPT,"Gulfport/Biloxi, MS: Gulfport-Biloxi International",30,7,2.24,1.67,2.1,0,1,4,0,833,578,44,73,0,138
2026,6,OH,PSA Airlines Inc.,GRR,"Grand Rapids, MI: Gerald R. Ford International",118,31,11.32,0.91,5.72,0,13.05,6,1,3360,1217,185,791,0,1167
